ShapeName,Slug,Synonyms,Category,Description,CityOrRegionMostAssociated,EarliestAttestedMention,SourceLink,PrimaryGeometry,KeyDiscriminators,Type,IsHollow,IsRidged,IsTwisted,IsCurved,SizeClass,IsStuffed,ThumbnailImage,PhotoImage,SearchAliases
Ziti,ziti,zite,Tube,,,,,tube,,tube,yes,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/ziti.png,<ImageKitPath>/pasta/full/ziti.jpg,zite
Trottole,trottole,,Short,,,,,short,,short,no,no,yes,no,medium,no,<ImageKitPath>/pasta/thumb/trottole.png,<ImageKitPath>/pasta/full/trottole.jpg,trotole
Mparrettati,mparrettati,,Short,,,,,short,,short,yes,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/mparrettati.png,<ImageKitPath>/pasta/full/mparrettati.jpg,mparetati
Passatelli,passatelli,,Dumpling / Pasta-Like,,,,,dumpling,,dumpling,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/passatelli.png,<ImageKitPath>/pasta/full/passatelli.jpg,pasateli
Foglie D'Ulivo,foglie-d-ulivo,,Short,,,,,short,,short,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/foglie-d-ulivo.png,<ImageKitPath>/pasta/full/foglie-d-ulivo.jpg,foglie ulivo; ulivo foglie; dulivo foglie; foglie d ulivo
Fusilli Bucati,fusilli-bucati,,Tube,,,,,tube,,tube,yes,no,yes,no,medium,no,<ImageKitPath>/pasta/thumb/fusilli-bucati.png,<ImageKitPath>/pasta/full/fusilli-bucati.jpg,fusili bucati; bucati fusilli
Strozzapreti,strozzapreti,,Short,,,,,short,,short,no,no,yes,no,medium,no,<ImageKitPath>/pasta/thumb/strozzapreti.png,<ImageKitPath>/pasta/full/strozzapreti.jpg,strozapreti
Orecchiette,orecchiette,little ears,Short,,,,,short,,short,no,no,no,yes,small,no,<ImageKitPath>/pasta/thumb/orecchiette.png,<ImageKitPath>/pasta/full/orecchiette.jpg,orechiete; litle ears; little ears
Fricelli,fricelli,,Short,,,,,short,,short,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/fricelli.png,<ImageKitPath>/pasta/full/fricelli.jpg,friceli
Torchio,torchio,,Short,,,,,short,,short,no,yes,no,yes,medium,no,<ImageKitPath>/pasta/thumb/torchio.png,<ImageKitPath>/pasta/full/torchio.jpg,
