ShapeName,Slug,Synonyms,Category,Description,CityOrRegionMostAssociated,EarliestAttestedMention,SourceLink,PrimaryGeometry,KeyDiscriminators,Type,IsHollow,IsRidged,IsTwisted,IsCurved,SizeClass,IsStuffed,ThumbnailImage,PhotoImage,SearchAliases
Lasagne,lasagne,lasagna (sing. in some usage),Sheet,,,,,sheet,,sheet,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/lasagne.png,<ImageKitPath>/pasta/full/lasagne.jpg,lasagna
Lasagnette,lasagnette,,Sheet,,,,,sheet,,sheet,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/lasagnette.png,<ImageKitPath>/pasta/full/lasagnette.jpg,lasagnete
Lasagne Ricce,lasagne-ricce,,Sheet,,,,,sheet,,sheet,no,yes,no,no,medium,no,<ImageKitPath>/pasta/thumb/lasagne-ricce.png,<ImageKitPath>/pasta/full/lasagne-ricce.jpg,lasagne rice; ricce lasagne
Linguettine,linguettine,,Short,,,,,short,,short,no,yes,no,yes,medium,no,<ImageKitPath>/pasta/thumb/linguettine.png,<ImageKitPath>/pasta/full/linguettine.jpg,linguetine
Mafaldine,mafaldine,reginette; mafalde,Ribbon,,,,,ribbon,,ribbon,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/mafaldine.png,<ImageKitPath>/pasta/full/mafaldine.jpg,mafalde; reginete; reginette
Pappardelle,pappardelle,,Ribbon,,,,,ribbon,,ribbon,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/pappardelle.png,<ImageKitPath>/pasta/full/pappardelle.jpg,papardele
Pillus,pillus,,Strand,,,,,strand,,strand,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/pillus.png,<ImageKitPath>/pasta/full/pillus.jpg,pilus
Tripoline,tripoline,,Ribbon,,,,,ribbon,,ribbon,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/tripoline.png,<ImageKitPath>/pasta/full/tripoline.jpg,
Trenette,trenette,,Ribbon,,,,,ribbon,,ribbon,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/trenette.png,<ImageKitPath>/pasta/full/trenette.jpg,trenete
Spaghetti Alla Chitarra,spaghetti-alla-chitarra,maccheroni alla chitarra,Strand,,,,,strand,,strand,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/spaghetti-alla-chitarra.png,<ImageKitPath>/pasta/full/spaghetti-alla-chitarra.jpg,spagheti chitarra; spaghetti chitara; chitarra spaghetti; maccheroni chitara; macheroni chitarra; spaghetti chitarra; chitarra maccheroni; maccheroni chitarra; maccheroni alla chitarra
Stringozzi,stringozzi,,Strand,,,,,strand,,strand,no,no,no,yes,medium,no,<ImageKitPath>/pasta/thumb/stringozzi.png,<ImageKitPath>/pasta/full/stringozzi.jpg,stringozi
Tagliolini,tagliolini,,Ribbon,,,,,ribbon,,ribbon,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/tagliolini.png,<ImageKitPath>/pasta/full/tagliolini.jpg,
Bigoli,bigoli,bigoi,Strand,,,,,strand,,strand,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/bigoli.png,<ImageKitPath>/pasta/full/bigoli.jpg,bigoi
Capelli D'Angelo,capelli-dangelo,,Strand,,,,,strand,,strand,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/capelli-dangelo.png,<ImageKitPath>/pasta/full/capelli-dangelo.jpg,capeli dangelo; dangelo capelli
Capellini,capellini,angel hair; angelhair; capelli d'angelo,Strand,,,,,strand,,strand,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/capellini.png,<ImageKitPath>/pasta/full/capellini.jpg,capelini; angelhair; angel hair; capeli dangelo; capelli dangelo; dangelo capelli
Fedelini,fedelini,,Strand,,,,,strand,,strand,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/fedelini.png,<ImageKitPath>/pasta/full/fedelini.jpg,
Fusilli Bucati Lunghi,fusilli-bucati-lunghi,,Strand,,,,,strand,,strand,yes,no,yes,no,medium,no,<ImageKitPath>/pasta/thumb/fusilli-bucati-lunghi.png,<ImageKitPath>/pasta/full/fusilli-bucati-lunghi.jpg,fusili bucati lunghi
Maccheroncini,maccheroncini,,Tube,,,,,tube,,tube,yes,yes,no,no,medium,no,<ImageKitPath>/pasta/thumb/maccheroncini.png,<ImageKitPath>/pasta/full/maccheroncini.jpg,macheroncini
Maccheroni Inferrati,maccheroni-inferrati,,Tube,,,,,tube,,tube,yes,no,no,yes,medium,no,<ImageKitPath>/pasta/thumb/maccheroni-inferrati.png,<ImageKitPath>/pasta/full/maccheroni-inferrati.jpg,maccheroni inferati; macheroni inferrati; inferrati maccheroni
Matriciani,matriciani,,Strand,,,,,strand,,strand,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/matriciani.png,<ImageKitPath>/pasta/full/matriciani.jpg,
Pellizzoni,pellizzoni,,Strand,,,,,strand,,strand,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/pellizzoni.png,<ImageKitPath>/pasta/full/pellizzoni.jpg,pelizoni
Perciatelli,perciatelli,,Short,,,,,short,,short,no,yes,no,yes,medium,no,<ImageKitPath>/pasta/thumb/perciatelli.png,<ImageKitPath>/pasta/full/perciatelli.jpg,perciateli
Spaghettini,spaghettini,,Strand,,,,,strand,,strand,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/spaghettini.png,<ImageKitPath>/pasta/full/spaghettini.jpg,spaghetini
Spaghettoni,spaghettoni,,Strand,,,,,strand,,strand,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/spaghettoni.png,<ImageKitPath>/pasta/full/spaghettoni.jpg,spaghetoni
Vermicelli,vermicelli,,Strand,,,,,strand,,strand,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/vermicelli.png,<ImageKitPath>/pasta/full/vermicelli.jpg,vermiceli
Vermicelloni,vermicelloni,,Strand,,,,,strand,,strand,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/vermicelloni.png,<ImageKitPath>/pasta/full/vermicelloni.jpg,vermiceloni
Ravioli,ravioli,raviolo (sing.); raviolini (small),Stuffed,,,,,stuffed,,stuffed,no,no,no,no,medium,yes,<ImageKitPath>/pasta/thumb/ravioli.png,<ImageKitPath>/pasta/full/ravioli.jpg,raviolo; raviolini
Tortellini,tortellini,,Stuffed,,,,,stuffed,,stuffed,no,no,no,yes,small,yes,<ImageKitPath>/pasta/thumb/tortellini.png,<ImageKitPath>/pasta/full/tortellini.jpg,tortelini
Agnolotti,agnolotti,,Stuffed,,,,,stuffed,,stuffed,no,no,no,no,medium,yes,<ImageKitPath>/pasta/thumb/agnolotti.png,<ImageKitPath>/pasta/full/agnolotti.jpg,agnoloti
Agnolotti Del Plin,agnolotti-del-plin,Agnolotti del plin (Langhe); Agnolotti del plin Langhe; plin,Stuffed,,,,,stuffed,,stuffed,no,no,no,no,medium,yes,<ImageKitPath>/pasta/thumb/agnolotti-del-plin.png,<ImageKitPath>/pasta/full/agnolotti-del-plin.jpg,plin; agnoloti plin; agnolotti plin; plin agnolotti; agnoloti plin langhe; agnolotti plin langhe; agnolotti del plin langhe
Cappelletti,cappelletti,cappelletti romagnoli,Stuffed,,,,,stuffed,,stuffed,no,no,no,no,small,yes,<ImageKitPath>/pasta/thumb/cappelletti.png,<ImageKitPath>/pasta/full/cappelletti.jpg,capeleti; capeleti romagnoli; cappelletti romagnoli; romagnoli cappelletti
Cappelletti Umbri,cappelletti-umbri,,Stuffed,,,,,stuffed,,stuffed,no,no,no,no,medium,yes,<ImageKitPath>/pasta/thumb/cappelletti-umbri.png,<ImageKitPath>/pasta/full/cappelletti-umbri.jpg,capeleti umbri; umbri cappelletti
Caramelle,caramelle,,Stuffed,,,,,stuffed,,stuffed,no,no,yes,no,medium,yes,<ImageKitPath>/pasta/thumb/caramelle.png,<ImageKitPath>/pasta/full/caramelle.jpg,caramele
Conchiglioni,conchiglioni,jumbo shells,Short,,,,,short,,short,no,no,no,yes,large,no,<ImageKitPath>/pasta/thumb/conchiglioni.png,<ImageKitPath>/pasta/full/conchiglioni.jpg,jumbo shels; jumbo shells
Mezzelune,mezzelune,,Stuffed,,,,,stuffed,,stuffed,no,no,no,no,medium,yes,<ImageKitPath>/pasta/thumb/mezzelune.png,<ImageKitPath>/pasta/full/mezzelune.jpg,mezelune
Casoncelli,casoncelli,casonsei,Stuffed,,,,,stuffed,,stuffed,no,no,no,no,medium,yes,<ImageKitPath>/pasta/thumb/casoncelli.png,<ImageKitPath>/pasta/full/casoncelli.jpg,casonsei; casonceli
Pansotti,pansotti,,Stuffed,,,,,stuffed,,stuffed,no,no,no,no,medium,yes,<ImageKitPath>/pasta/thumb/pansotti.png,<ImageKitPath>/pasta/full/pansotti.jpg,pansoti
Ravioletti,ravioletti,,Stuffed,,,,,stuffed,,stuffed,no,no,no,no,medium,yes,<ImageKitPath>/pasta/thumb/ravioletti.png,<ImageKitPath>/pasta/full/ravioletti.jpg,ravioleti
Sacchettoni,sacchettoni,,Stuffed,,,,,stuffed,,stuffed,no,no,no,no,medium,yes,<ImageKitPath>/pasta/thumb/sacchettoni.png,<ImageKitPath>/pasta/full/sacchettoni.jpg,sachetoni
Tortelli,tortelli,,Stuffed,,,,,stuffed,,stuffed,no,no,no,no,medium,yes,<ImageKitPath>/pasta/thumb/tortelli.png,<ImageKitPath>/pasta/full/tortelli.jpg,torteli
Tortelloni,tortelloni,,Stuffed,,,,,stuffed,,stuffed,no,no,no,yes,large,yes,<ImageKitPath>/pasta/thumb/tortelloni.png,<ImageKitPath>/pasta/full/tortelloni.jpg,torteloni
Fazzoletti Ripieni,fazzoletti-ripieni,,Stuffed,,,,,stuffed,,stuffed,no,no,no,no,medium,yes,<ImageKitPath>/pasta/thumb/fazzoletti-ripieni.png,<ImageKitPath>/pasta/full/fazzoletti-ripieni.jpg,fazoleti ripieni; ripieni fazzoletti
Manicotti,manicotti,,Tube,,,,,tube,,tube,yes,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/manicotti.png,<ImageKitPath>/pasta/full/manicotti.jpg,manicoti
Abbotta Pezziende,abbotta-pezziende,,Short,,,,,short,,short,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/abbotta-pezziende.png,<ImageKitPath>/pasta/full/abbotta-pezziende.jpg,abota pezziende; abbotta peziende; pezziende abbotta
Elicoidali,elicoidali,,Tube,,,,,tube,,tube,yes,yes,yes,no,medium,no,<ImageKitPath>/pasta/thumb/elicoidali.png,<ImageKitPath>/pasta/full/elicoidali.jpg,
Gemelli,gemelli,,Short,,,,,short,,short,no,no,yes,no,medium,no,<ImageKitPath>/pasta/thumb/gemelli.png,<ImageKitPath>/pasta/full/gemelli.jpg,gemeli
Dischi,dischi,,Short,,,,,short,,short,no,no,yes,no,medium,no,<ImageKitPath>/pasta/thumb/dischi.png,<ImageKitPath>/pasta/full/dischi.jpg,
Fiori,fiori,,Short,,,,,short,,short,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/fiori.png,<ImageKitPath>/pasta/full/fiori.jpg,
Gnocchetti,gnocchetti,,Dumpling / Pasta-Like,,,,,dumpling,,dumpling,no,no,no,no,small,no,<ImageKitPath>/pasta/thumb/gnocchetti.png,<ImageKitPath>/pasta/full/gnocchetti.jpg,gnocheti
Creste Di Gallo,creste-di-gallo,,Short,,,,,short,,short,no,yes,no,yes,medium,no,<ImageKitPath>/pasta/thumb/creste-di-gallo.png,<ImageKitPath>/pasta/full/creste-di-gallo.jpg,creste galo; creste gallo; gallo creste
